SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
2327930,100038,1.0,10,-517.0,-528.0,11100.6,11100.6
2327930,100038,1.0,7,-607.0,-620.0,11100.6,11100.6
2327930,100038,1.0,6,-637.0,-648.0,11100.6,11100.6
2327930,100038,1.0,1,-787.0,-802.0,11100.6,11100.6
2327930,100038,1.0,3,-727.0,-745.0,11100.6,11100.6
2327930,100038,1.0,4,-697.0,-707.0,11100.6,11100.6
2327930,100038,1.0,9,-547.0,-557.0,11100.6,11100.6
2327930,100038,1.0,5,-667.0,-679.0,11100.6,11100.6
2327930,100038,1.0,8,-577.0,-592.0,11100.6,11100.6
2327930,100038,1.0,2,-757.0,-770.0,11100.6,11100.6
2327930,100038,1.0,11,-487.0,-497.0,11100.6,11100.6
2327930,100038,1.0,12,-457.0,-466.0,11097.45,11097.45
