SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
2495675,100005,-21,12.0,9.0,Active,0,0
2495675,100005,-23,12.0,11.0,Active,0,0
2495675,100005,-18,12.0,6.0,Active,0,0
2495675,100005,-25,,,Signed,0,0
2495675,100005,-24,12.0,12.0,Active,0,0
2495675,100005,-22,12.0,10.0,Active,0,0
2495675,100005,-19,12.0,7.0,Active,0,0
2495675,100005,-17,12.0,5.0,Active,0,0
2495675,100005,-16,12.0,4.0,Active,0,0
2495675,100005,-20,12.0,8.0,Active,0,0
2495675,100005,-15,9.0,0.0,Completed,0,0
